Date,Actual,Forecast
2026-02-26,6908.85986328125,6944.104596354458
2026-02-27,6878.8798828125,6945.042419286662
2026-03-02,6881.6201171875,6944.608153877602
2026-03-03,6816.6298828125,6944.809243485278
2026-03-04,6869.5,6944.716127548637
2026-03-05,6830.7099609375,6944.75924552851
2026-03-06,6740.02001953125,6944.739279449068
2026-03-09,6795.990234375,6944.748524880544
2026-03-10,6781.47998046875,6944.744243719417
2026-03-11,6775.7998046875,6944.746226140751
2026-03-12,6672.6201171875,6944.745308166812
2026-03-13,6632.18994140625,6944.745733241007
2026-03-16,6699.3798828125,6944.745536407454
2026-03-17,6716.08984375,6944.745627552595
2026-03-18,6624.7001953125,6944.745585347206
2026-03-19,6606.490234375,6944.745604890703
2026-03-20,6506.47998046875,6944.745595840951
2026-03-23,6581.0,6944.745600031501
2026-03-24,6556.3701171875,6944.745598091038
2026-03-25,6591.89990234375,6944.745598989583
2026-03-26,6477.16015625,6944.745598573506
2026-03-27,6368.85009765625,6944.745598766173
2026-03-30,6343.72021484375,6944.745598676957
2026-03-31,6528.52001953125,6944.745598718269
2026-04-01,6575.31982421875,6944.745598699139
2026-04-02,6582.68994140625,6944.7455987079975
2026-04-06,6611.830078125,6944.745598703896
2026-04-07,6616.85009765625,6944.745598705795
2026-04-08,6782.81005859375,6944.745598704915
2026-04-09,6824.66015625,6944.745598705323
2026-04-10,6816.89013671875,6944.745598705134
2026-04-13,6886.240234375,6944.745598705222
2026-04-14,6967.3798828125,6944.745598705182
2026-04-15,7022.9501953125,6944.745598705201
2026-04-16,7041.27978515625,6944.745598705192
2026-04-17,7126.06005859375,6944.745598705195
2026-04-20,7109.14013671875,6944.7455987051935
2026-04-21,7064.009765625,6944.745598705194
2026-04-22,7137.89990234375,6944.745598705194
2026-04-23,7108.39990234375,6944.745598705194
2026-04-24,7165.080078125,6944.745598705194
2026-04-27,7173.91015625,6944.745598705194
2026-04-28,7138.7998046875,6944.745598705194
2026-04-29,7135.9501953125,6944.745598705194
2026-04-30,7209.009765625,6944.745598705194
2026-05-01,7230.1201171875,6944.745598705194
2026-05-04,7200.75,6944.745598705194
2026-05-05,7259.22021484375,6944.745598705194
2026-05-06,7365.1201171875,6944.745598705194
2026-05-07,7337.10986328125,6944.745598705194
2026-05-08,7398.93017578125,6944.745598705194
2026-05-11,7412.83984375,6944.745598705194
2026-05-12,7400.9599609375,6944.745598705194
2026-05-13,7444.25,6944.745598705194
2026-05-14,7501.240234375,6944.745598705194
2026-05-15,7408.5,6944.745598705194
2026-05-18,7403.0498046875,6944.745598705194
2026-05-19,7353.60986328125,6944.745598705194
2026-05-20,7432.97021484375,6944.745598705194
2026-05-21,7445.72021484375,6944.745598705194
