Date,LogReturn
2018-01-03,0.6378433243936035
2018-01-04,0.4020542855326989
2018-01-05,0.7009145888585349
2018-01-08,0.1660963767296979
2018-01-09,0.13020835172984224
2018-01-10,-0.11128458115206878
2018-01-11,0.7009025768882019
2018-01-12,0.6726926399094035
2018-01-16,-0.353071326160267
2018-01-17,0.9371006206502086
2018-01-18,-0.1617697497473624
2018-01-19,0.4375647986990156
2018-01-22,0.803436438221324
2018-01-23,0.21720049682223191
2018-01-24,-0.05601325472320471
2018-01-25,0.06024393988328895
2018-01-26,1.1771638106084168
2018-01-29,-0.6754736284863033
2018-01-30,-1.0958642805337084
2018-01-31,0.04888658586947881
2018-02-01,-0.06482983520233253
2018-02-02,-2.143668051669881
2018-02-05,-4.184254093838143
2018-02-06,1.7290573348937088
2018-02-07,-0.5014138223752627
2018-02-08,-3.82590522458017
2018-02-09,1.4825645199524344
2018-02-12,1.3818665678186273
2018-02-13,0.2609521980277558
2018-02-14,1.3313439808897014
2018-02-15,1.199686177677526
2018-02-16,0.03733996499216942
2018-02-20,-0.5858517106837343
2018-02-21,-0.5511664483310909
2018-02-22,0.09730774855778604
2018-02-23,1.5901278245121022
2018-02-26,1.16884386206274
2018-02-27,-1.2788311441467541
2018-02-28,-1.1157806083656079
2018-03-01,-1.3413965854876448
2018-03-02,0.5058785485198549
2018-03-05,1.097161761052657
2018-03-06,0.26353829319968103
2018-03-07,-0.0483991825716375
2018-03-08,0.4453148208884627
2018-03-09,1.7229546741207586
2018-03-12,-0.1274797337998416
2018-03-13,-0.6383910414314703
2018-03-14,-0.5740969825188785
2018-03-15,-0.07822363990965508
2018-03-16,0.17019979472317417
2018-03-19,-1.4306040541373417
2018-03-20,0.14807086617189258
2018-03-21,-0.18456921256294062
2018-03-22,-2.5484886972854417
2018-03-23,-2.1189807311750664
2018-03-26,2.6795040706035387
2018-03-27,-1.7427285645321902
2018-03-28,-0.2920918899462677
2018-03-29,1.3675777493843446
2018-04-02,-2.259068234349587
2018-04-03,1.2535961315741067
2018-04-04,1.150010234644679
2018-04-05,0.6839421401651201
2018-04-06,-2.2164067057064987
2018-04-09,0.33309949675928296
2018-04-10,1.6588598996314068
2018-04-11,-0.5540685772461174
2018-04-12,0.8216898697657044
2018-04-13,-0.2890799826706634
2018-04-16,0.8076336801563068
2018-04-17,1.060507161386675
2018-04-18,0.08310204075532665
2018-04-19,-0.574258179583257
2018-04-20,-0.8573177188352707
2018-04-23,0.005623011118453955
2018-04-24,-1.3470888006475166
2018-04-25,0.18353742328236347
2018-04-26,1.0380144187376954
2018-04-27,0.11130052713638149
2018-04-30,-0.8221192548921248
2018-05-01,0.25458021710273926
2018-05-02,-0.7231951201402356
2018-05-03,-0.22562175850640762
2018-05-04,1.2729810028334958
2018-05-07,0.3451980554989958
2018-05-08,-0.02656766117338216
2018-05-09,0.9635647934868785
2018-05-10,0.9327011603848374
2018-05-11,0.1706139270961256
2018-05-14,0.08830995101265589
2018-05-15,-0.6865655043990812
2018-05-16,0.4052339847514407
2018-05-17,-0.08562387886101003
2018-05-18,-0.26356652545503156
2018-05-21,0.7359604547933372
2018-05-22,-0.31406885928751893
2018-05-23,0.32431452068987515
2018-05-24,-0.20252629577225517
2018-05-25,-0.2360003054185922
2018-05-29,-1.1631572511792225
2018-05-30,1.2615875351923802
2018-05-31,-0.6903333243434208
2018-06-01,1.079079970923988
2018-06-04,0.4469594898352221
2018-06-05,0.0702346269575674
2018-06-06,0.8530900637311971
2018-06-07,-0.07144436219845289
2018-06-08,0.31210289077513476
2018-06-11,0.10681370069403208
2018-06-12,0.17418672787038483
2018-06-13,-0.40342545414114567
2018-06-14,0.24685005225036868
2018-06-15,-0.101762031549408
2018-06-18,-0.2128391180886516
2018-06-19,-0.4031517951391294
2018-06-20,0.17106902241125452
2018-06-21,-0.6365728843220269
2018-06-22,0.18602032551338835
2018-06-25,-1.3819722967770653
2018-06-26,0.22021505056967236
2018-06-27,-0.8641586313141116
2018-06-28,0.6159680019031287
2018-06-29,0.07581158875170001
2018-07-02,0.3063260834293461
2018-07-03,-0.4959629280533677
2018-07-05,0.8583856745537827
2018-07-06,0.844551760058016
2018-07-09,0.8784290785341505
2018-07-10,0.3467249318821859
2018-07-11,-0.7119486371916502
2018-07-12,0.87109915801719
2018-07-13,0.10786555366086474
2018-07-16,-0.10286646208985384
2018-07-17,0.39658243434434315
2018-07-18,0.21581820767374627
2018-07-19,-0.3960826849049506
2018-07-20,-0.09488977712743676
2018-07-23,0.18363623432315188
2018-07-24,0.47695188860535614
2018-07-25,0.9060435070372713
2018-07-26,-0.303690274886736
2018-07-27,-0.6583834644845457
2018-07-30,-0.5770789315587143
2018-07-31,0.48728372193030933
2018-08-01,-0.10408930675711335
2018-08-02,0.49143495822086997
2018-08-03,0.4633432065347987
2018-08-06,0.3531982650801626
2018-08-07,0.28202017464857676
2018-08-08,-0.026241439329510795
2018-08-09,-0.14427146770399496
2018-08-10,-0.7139312263244473
2018-08-13,-0.4014037665980266
2018-08-14,0.6368930016417421
2018-08-15,-0.7631208581378816
2018-08-16,0.788821455263811
2018-08-17,0.3317606375263089
2018-08-20,0.2425074902128281
2018-08-21,0.20663999546270578
2018-08-22,-0.03982310542435054
2018-08-23,-0.1692693923535106
2018-08-24,0.6179705928285333
2018-08-27,0.7641141407110444
2018-08-28,0.026924207759835516
2018-08-29,0.5685242468911669
2018-08-30,-0.4440172044458075
2018-08-31,0.013446846730492032
2018-09-04,-0.16556920488793075
2018-09-05,-0.2807062801265972
2018-09-06,-0.36589910366181577
2018-09-07,-0.22157978950144838
2018-09-10,0.18960282146933796
2018-09-11,0.3732865689715426
2018-09-12,0.03566083498935524
2018-09-13,0.5268352159391334
2018-09-14,0.027544390076635554
2018-09-17,-0.5585290991549207
2018-09-18,0.5354652867625239
2018-09-19,0.12524880331719868
2018-09-20,0.7810014185329059
2018-09-21,-0.03686009370070487
2018-09-24,-0.3521882314013849
2018-09-25,-0.1305948493117946
2018-09-26,-0.3294699681159941
2018-09-27,0.27594762285113966
2018-09-28,-0.0006870144138179519
2018-10-01,0.36344923421985015
2018-10-02,-0.03967689102790794
2018-10-03,0.07112667367183716
2018-10-04,-0.8203035421009814
2018-10-05,-0.5543314584622145
2018-10-08,-0.039519470834969796
2018-10-09,-0.14189098341542977
2018-10-10,-3.3416389042602077
2018-10-11,-2.078757997254153
2018-10-12,1.4106235408376289
2018-10-15,-0.5922482291300049
2018-10-16,2.126782803490127
2018-10-17,-0.02526942626648821
2018-10-18,-1.4496490575341185
2018-10-19,-0.036123513527937905
2018-10-22,-0.43087970964778677
2018-10-23,-0.5527076180694164
2018-10-24,-3.1350773861140837
2018-10-25,1.8453717978714166
2018-10-26,-1.7479138010003175
2018-10-29,-0.658120829519397
2018-10-30,1.5545322971877482
2018-10-31,1.0792878754571094
2018-11-01,1.0502498868529206
2018-11-02,-0.6336721055879746
2018-11-05,0.5584693697194117
2018-11-06,0.6239787744408636
2018-11-07,2.0987078560774024
2018-11-08,-0.2512068988491457
2018-11-09,-0.9241585915372431
2018-11-12,-1.9898150985467495
2018-11-13,-0.14830188221738935
2018-11-14,-0.7596188818450545
2018-11-15,1.053803274264194
2018-11-16,0.22208375374839828
2018-11-19,-1.6783161235721438
2018-11-20,-1.831799555658597
2018-11-21,0.30386693107672014
2018-11-23,-0.6576419711855616
2018-11-26,1.5412975845366428
2018-11-27,0.3256384364612641
2018-11-28,2.271405130311378
2018-11-29,-0.21854945453934532
2018-11-30,0.8137547716617559
2018-12-03,1.0882001794362435
2018-12-04,-3.290022883855611
