Date,LogReturn
2018-01-03,-1.0285830962693707
2018-01-04,-0.8324530558682127
2018-01-05,0.6210416017176824
2018-01-08,6.075470238170342
2018-01-09,-0.8118245093933887
2018-01-10,0.3320893638202626
2018-01-11,0.9364661080734739
2018-01-12,-0.5132257768969449
2018-01-16,1.135638767539583
2018-01-17,2.066361394773987
2018-01-18,-0.7488501129632502
2018-01-19,1.5693090065018587
2018-01-22,0.4390024536005943
2018-01-23,0.349261668007839
2018-01-24,-1.975213430064165
2018-01-25,-2.414061666578032
2018-01-26,1.5312820217281293
2018-01-29,1.9296367584641105
2018-01-30,-1.067099478570611
2018-01-31,2.4253827172148545
2018-02-01,-1.4384252958894272
2018-02-02,-1.5873271824704642
2018-02-05,-3.1381851268344674
2018-02-06,0.2518353306341375
2018-02-07,3.2493210526077796
2018-02-08,-9.024189341458241
2018-02-09,-1.5376248848248275
2018-02-12,1.6961202165830975
2018-02-13,2.4806110575996825
2018-02-14,-0.4179773833776598
2018-02-15,3.583675439422329
2018-02-16,0.4241546843597737
2018-02-20,-0.21483504963464925
2018-02-21,-0.44008100064994865
2018-02-22,3.788699111449636
2018-02-23,1.6843236182783696
2018-02-26,1.5138342018226796
2018-02-27,-1.8153845689605117
2018-02-28,-2.2852326172335675
2018-03-01,-3.599846676634224
2018-03-02,1.2581794044277577
2018-03-05,-0.5295688934635745
2018-03-06,-1.556984990861947
2018-03-07,1.2415049984329452
2018-03-08,-0.96765099931042
2018-03-09,-0.5881795723518265
2018-03-12,5.454171900502215
2018-03-13,-1.0678811790388842
2018-03-14,-4.551475671341542
2018-03-15,-0.3158388052850371
2018-03-16,-1.3138827430316806
2018-03-19,-2.454012238265771
2018-03-20,-0.9645799079847998
2018-03-21,1.9073091713506165
2018-03-22,-2.3753145635010835
2018-03-23,-2.476215748924565
2018-03-26,0.8716983357954529
2018-03-27,-8.576296122040029
2018-03-28,-7.975020560866929
2018-03-29,3.1878440640849597
2018-04-02,-5.265286271087222
2018-04-03,5.78996024580255
2018-04-04,7.004145954947365
2018-04-05,6.33964612779032
2018-04-06,-2.1223211265089486
2018-04-09,-3.2738552591198076
2018-04-10,5.061985415504579
2018-04-11,-1.2450001501353107
2018-04-12,-2.302585434608351
2018-04-13,2.1063340553558363
2018-04-16,-3.08705458622848
2018-04-17,-1.216115336767681
2018-04-18,1.9482988950550415
2018-04-19,2.2682617268948135
2018-04-20,-3.3340946599311443
2018-04-23,-2.395471306776481
2018-04-24,0.031758299621107114
2018-04-25,-0.9820109595590503
2018-04-26,1.6921052271252952
2018-04-27,2.9679886452107596
2018-04-30,-0.06123186992794156
2018-05-01,2.0276271552001206
2018-05-02,0.40927434643586713
2018-05-03,-5.7051054756940385
2018-05-04,3.332840839172635
2018-05-07,2.908759810758175
2018-05-08,-0.2645858763480691
2018-05-09,1.6031414306226814
2018-05-10,-0.5981667768512261
2018-05-11,-1.3067764405920592
2018-05-14,-3.065856848862532
2018-05-15,-2.7043193851452125
2018-05-16,0.8060902728221242
2018-05-17,-0.6794892876662789
2018-05-18,-2.750641104186075
2018-05-21,2.733063584059411
2018-05-22,-3.3890641978487257
2018-05-23,1.46552593259178
2018-05-24,-0.438134008245393
2018-05-25,0.35926511327837146
2018-05-29,1.7454813671737686
2018-05-30,2.7665611046886496
2018-05-31,-2.4253054463058024
2018-06-01,2.4595765346737455
2018-06-04,1.6719212816101785
2018-06-05,-1.9086459534572997
2018-06-06,9.298733807137726
